learning_rate,batch_size,dropout,optimizer,num_filters,val_acc,val_loss,best_epoch,train_time_s
0.001,32,0.5,RMSprop,"(32, 64, 128, 256)",0.5531,1.2303,27,180.1
0.001,16,0.5,Adam,"(32, 64, 128, 256)",0.5577,1.2916,25,202.6
0.0005,16,0.7,RMSprop,"(32, 64, 128, 256)",0.5372,1.2729,29,199.2
0.0005,16,0.5,SGD,"(32, 64, 128, 256)",0.5091,1.2767,30,194.7
0.0005,16,0.3,SGD,"(16, 32, 64, 128)",0.4788,1.3572,14,97.3
0.001,32,0.7,RMSprop,"(16, 32, 64, 128)",0.4681,1.3734,10,62.0
0.001,32,0.5,SGD,"(32, 64, 128, 256)",0.4507,1.3695,12,114.3
0.0001,32,0.7,Adam,"(16, 32, 64, 128)",0.4932,1.4014,29,109.6
0.001,32,0.3,RMSprop,"(32, 64, 128, 256)",0.5637,1.1936,30,180.5
0.0001,64,0.5,Adam,"(16, 32, 64, 128)",0.4841,1.336,30,101.8
0.0001,16,0.3,Adam,"(32, 64, 128, 256)",0.541,1.2644,17,156.3
0.001,16,0.5,SGD,"(32, 64, 128, 256)",0.5228,1.2671,27,194.6
0.001,16,0.5,Adam,"(16, 32, 64, 128)",0.5516,1.2839,20,125.5
0.001,32,0.3,RMSprop,"(16, 32, 64, 128)",0.5296,1.2734,25,109.3
0.0005,16,0.3,Adam,"(16, 32, 64, 128)",0.5341,1.2275,30,139.8
0.0005,16,0.3,RMSprop,"(16, 32, 64, 128)",0.5561,1.208,27,139.2
0.0001,32,0.3,SGD,"(16, 32, 64, 128)",0.3627,1.6352,10,62.0
0.0001,64,0.5,RMSprop,"(32, 64, 128, 256)",0.4992,1.3581,17,137.8
0.0001,32,0.7,RMSprop,"(16, 32, 64, 128)",0.4939,1.3653,22,106.1
0.001,64,0.7,SGD,"(32, 64, 128, 256)",0.4484,1.4179,19,148.8
